Date,Oil,USD_Index,Emerging_Mkts,Gold,China_Equity,US_Equity,Japan_Equity,EU_Equity,US_10Y_Yield
2007-01-02,61.04999923706055,83.19999694824219,,635.2000122070312,,,,,
2007-01-03,58.31999969482422,83.91999816894531,25.826169967651367,627.0999755859375,,1416.5999755859375,,,4.664000034332275
2007-01-04,55.59000015258789,84.31999969482422,25.469528198242188,623.9000244140625,,1418.3399658203125,17353.669921875,,4.618000030517578
2007-01-05,56.310001373291016,84.62999725341797,24.724836349487305,604.9000244140625,,1409.7099609375,17091.58984375,,4.645999908447266
2007-01-08,56.09000015258789,84.5999984741211,24.904285430908203,607.5,,1412.8399658203125,,,4.659999847412109
2007-01-09,55.63999938964844,84.73999786376953,24.34801483154297,613.0999755859375,,1412.1099853515625,17237.76953125,,4.656000137329102
2007-01-10,54.02000045776367,85.08000183105469,24.291940689086914,611.5999755859375,,1414.8499755859375,16942.400390625,,4.682000160217285
2007-01-11,51.880001068115234,85.30999755859375,24.599239349365234,612.4000244140625,,1423.8199462890625,16838.169921875,,4.736999988555908
2007-01-12,52.9900016784668,85.02999877929688,25.099430084228516,625.5,,1430.72998046875,17057.009765625,,4.770999908447266
2007-01-15,,,,,,,17209.919921875,,
2007-01-16,51.209999084472656,85.05000305175781,25.189146041870117,624.5999755859375,,1431.9000244140625,17202.4609375,,4.750999927520752
2007-01-17,52.2400016784668,84.9800033569336,25.083736419677734,632.0999755859375,,1430.6199951171875,17261.349609375,,4.7870001792907715
2007-01-18,50.47999954223633,84.91000366210938,24.81904411315918,627.0999755859375,,1426.3699951171875,17370.9296875,,4.750999927520752
2007-01-19,51.9900016784668,84.86000061035156,25.26541519165039,635.5,,1430.5,17310.439453125,,4.7729997634887695
2007-01-22,51.130001068115234,85.0199966430664,25.236255645751953,633.2999877929688,,1422.949951171875,17424.1796875,,4.758999824523926
2007-01-23,55.040000915527344,84.66999816894531,25.810468673706055,645.2000122070312,,1427.989990234375,17408.5703125,,4.803999900817871
2007-01-24,55.369998931884766,84.94000244140625,26.034774780273438,647.5999755859375,,1440.1300048828125,17507.400390625,,4.809999942779541
2007-01-25,54.22999954223633,85.11000061035156,25.23401641845703,647.7999877929688,,1423.9000244140625,17458.30078125,,4.867000102996826
2007-01-26,55.41999816894531,85.27999877929688,25.388771057128906,644.5,,1422.1800537109375,17421.9296875,,4.879000186920166
2007-01-29,54.0099983215332,85.0999984741211,25.052322387695312,643.0999755859375,,1420.6199951171875,17470.4609375,,4.892000198364258
2007-01-30,56.970001220703125,85.02999877929688,25.440366744995117,644.2000122070312,,1428.8199462890625,17490.189453125,,4.875
2007-01-31,58.13999938964844,84.61000061035156,25.637758255004883,652.0,,1438.239990234375,17383.419921875,,4.826000213623047
2007-02-01,57.29999923706055,84.62999725341797,25.9517822265625,657.4000244140625,,1445.93994140625,17519.5,,4.836999893188477
2007-02-02,59.02000045776367,84.95999908447266,25.873281478881836,646.2000122070312,,1448.3900146484375,17547.109375,,4.827000141143799
2007-02-05,58.7400016784668,85.08000183105469,25.89794158935547,650.9000244140625,,1446.989990234375,17344.80078125,,4.808000087738037
2007-02-06,58.880001068115234,84.77999877929688,26.153654098510742,653.5999755859375,,1448.0,17406.859375,,4.764999866485596
2007-02-07,57.709999084472656,84.75,26.052709579467773,652.2999877929688,,1450.02001953125,17292.3203125,,4.744999885559082
2007-02-08,59.709999084472656,84.69999694824219,25.913646697998047,658.0,,1448.31005859375,17292.48046875,,4.730000019073486
2007-02-09,59.88999938964844,84.87000274658203,25.604108810424805,667.5,,1438.06005859375,17504.330078125,,4.783999919891357
2007-02-12,57.810001373291016,85.1500015258789,25.429153442382812,662.5999755859375,,1433.3699951171875,,,4.803999900817871
2007-02-13,59.060001373291016,84.7300033569336,25.832895278930664,663.9000244140625,,1444.260009765625,17621.44921875,,4.814000129699707
2007-02-14,58.0,84.19999694824219,26.3891658782959,667.4000244140625,,1455.300048828125,17752.640625,,4.730000019073486
2007-02-15,57.9900016784668,84.01000213623047,26.404863357543945,667.2999877929688,,1456.81005859375,17897.23046875,,4.705999851226807
2007-02-16,59.38999938964844,84.08999633789062,26.465423583984375,668.7999877929688,,1455.5400390625,17875.650390625,,4.690000057220459
2007-02-19,,,,,,,17940.08984375,,
2007-02-20,58.06999969482422,84.19000244140625,26.53496742248535,657.0999755859375,,1459.6800537109375,17939.119140625,,4.679999828338623
2007-02-21,60.06999969482422,84.20999908447266,26.613468170166016,680.2000122070312,,1457.6300048828125,17913.2109375,,4.691999912261963
2007-02-22,60.95000076293945,84.31999969482422,26.546180725097656,679.4000244140625,,1456.3800048828125,18108.7890625,,4.730000019073486
2007-02-23,61.13999938964844,84.06999969482422,26.35552978515625,683.0999755859375,,1451.18994140625,18188.419921875,,4.677999973297119
2007-02-26,61.38999938964844,83.93000030517578,26.344310760498047,686.5,,1449.3699951171875,18215.349609375,,4.63100004196167
